day,value
2014-11-17,891867.4219872758
2014-11-24,839757.6654743352
2014-12-01,909838.7286193973
2014-12-08,927626.6706724005
2014-12-15,1099286.2079952473
2014-12-22,1243395.884613609
2014-12-29,1386637.7913794152
2015-01-05,1319272.8276954119
2015-01-12,1112121.069238617
2015-01-19,1015837.6685827853
2015-01-26,1008239.6840318361
2015-02-02,958231.5264442405
2015-02-09,981399.5726531581
2015-02-16,981634.5111057671
2015-02-23,967124.0454775676
2015-03-02,886886.9105316128
2015-03-09,829325.5578466621
2015-03-16,821563.3033264142
2015-03-23,824525.1894868502
2015-03-30,855155.5456362695
2015-04-06,814096.4145817726
2015-04-13,774369.3721434411
2015-04-20,732612.4013757623
2015-04-27,730096.3494987164
2015-05-04,637971.9890274365
2015-05-11,618948.0159653156
2015-05-18,586180.715143462
2015-05-25,563049.1441355248
2015-06-01,539311.6395146858
2015-06-08,526563.5516148616
2015-06-15,520630.262797318
2015-06-22,479897.78252411634
2015-06-29,481891.0927401631
2015-07-06,460969.30103177024
2015-07-13,448972.83386268606
2015-07-20,426276.56646181375
2015-07-27,410874.5286063224
2015-08-03,421423.7816036867
2015-08-10,428931.91366297344
2015-08-17,450025.0550064642
2015-08-24,501192.7402663851
2015-08-31,530627.9483273164
2015-09-07,543182.4914354401
2015-09-14,653496.2766480796
2015-09-21,780975.9174014725
2015-09-28,925633.6780291712
2015-10-05,992718.379235143
2015-10-12,1022438.9501888651
2015-10-19,975077.0065917337
2015-10-26,886466.1624508844
2015-11-02,839148.7927459748
2015-11-09,840704.0994503369
2015-11-16,811430.3772477574
2015-11-23,829191.2969290736
2015-11-30,893434.1724257072
2015-12-07,869997.5156381106
2015-12-14,890249.3602410194
2015-12-21,956995.9211192091
2015-12-28,1026047.6514452741
2016-01-04,1084943.72277864
2016-01-11,952894.8292866512
2016-01-18,908803.6700326505
2016-01-25,904916.7459287741
2016-02-01,834366.1116758185
2016-02-08,939703.0150478624
2016-02-15,941705.7718996914
2016-02-22,923830.6443135955
2016-02-29,935487.8042717378
2016-03-07,881795.7707774091
2016-03-14,832396.5679733688
2016-03-21,830259.2032557877
2016-03-28,746063.8324225633
2016-04-04,800634.5634339707
2016-04-11,763621.4542126642
2016-04-18,692550.2805933416
2016-04-25,696955.5857230693
2016-05-02,634580.6144740458
2016-05-09,590584.7519562759
2016-05-16,588471.4184461111
2016-05-23,580529.3688340636
2016-05-30,516993.3846560399
2016-06-06,488332.31343832053
2016-06-13,474937.0892032493
2016-06-20,484754.90814086935
2016-06-27,474253.9368635372
2016-07-04,443722.8061684656
2016-07-11,442891.9498054397
2016-07-18,421313.85647859663
2016-07-25,387619.02859637316
2016-08-01,413603.7246969123
2016-08-08,420901.20912912715
2016-08-15,422703.4534066614
2016-08-22,484555.5510823711
2016-08-29,499178.0150583733
2016-09-05,528412.5656414799
2016-09-12,574631.4424931313
2016-09-19,673257.7838761297
2016-09-26,880107.4168496772
2016-10-03,996182.6045977679
2016-10-10,964220.7081164032
2016-10-17,894427.600502832
2016-10-24,899096.7573709547
2016-10-31,813991.6237333843
2016-11-07,874642.246505006
2016-11-14,909867.3986336516
2016-11-21,915443.5472059683
2016-11-28,926587.8889820523
2016-12-05,981048.2923300521
2016-12-12,986067.1665154989
2016-12-19,1142073.9074763325
2016-12-26,1243701.0047116815
2017-01-02,1290855.272111713
2017-01-09,1154973.227499453
2017-01-16,1053389.001011959
2017-01-23,1023879.8721607919
2017-01-30,1004420.9831805927
2017-02-06,1062466.2568776256
2017-02-13,1014868.3221050625
2017-02-20,885084.5493667587
2017-02-27,840990.9155417342
2017-03-06,840243.8456747595
2017-03-13,859815.8483468882
2017-03-20,867520.7681545372
2017-03-27,855120.0295197865
2017-04-03,888975.2400820211
2017-04-10,823961.651758019
2017-04-17,738268.8663031611
2017-04-24,690177.4804787161
2017-05-01,723984.4660969678
2017-05-08,751333.0914052204
2017-05-15,745331.3248059041
2017-05-22,724426.960234926
2017-05-29,641810.5807026924
2017-06-05,608493.3045039385
2017-06-12,576529.5071511455
2017-06-19,532805.5147705501
2017-06-26,571180.7888999557
2017-07-03,535998.1849128603
2017-07-10,527375.9879382041
2017-07-17,486216.71348632005
2017-07-24,473771.41962007055
2017-07-31,475435.39380223094
2017-08-07,487083.33891294216
2017-08-14,491094.6527082084
2017-08-21,516051.315448621
2017-08-28,548994.2158904555
